系列,尺寸,款式数,有没有LED灯,现役要做营销吗(Y/N),适合空间(大客厅/卧室/餐厅/小空间condo/商用空间/有盖阳台 可多选),备注给Edwin
ALPINE,56",2款(MB_OAK / MW_PW),?待填,,,双色命名 机身色+扇叶色?
AURA,36",2款(MW / OAK),?待填,,,
AURA,48",2款(MB / PW),?待填,,,发票有 FANZ-AURA 36L/48L 带L 疑似有灯
AXEL,16",3款(MB_OAK / MB_PW / MW_PW),?待填,,,发票记录 AXEL-16 是壁扇 不是吊扇?
DELTA,56",3款(GW / OAK / PW),?待填,,,GW 是什么颜色?
DELTA,66",3款(GW / OAK / PW),?待填,,,
FC 16,?,2款(MB_OAK / MW_PW),?待填,,,角扇? 发票里 CF16 标的是 VIOZ 这个 FC16 是 Fanz 版?
FERRO,56",4款(L:MB/OAK  N:MB/MW),两种都有(已确认),,,有专门的斜角图 素材最完整
FF425,?,1款(MB),?待填,,,发票里 FF565 标的是 VIOZ 这两个到底哪个牌?
FF565,?,1款(MB),?待填,,,同上
FS 423,42",6款(L:MB/MW/OAK  N:MB/MW/OAK),两种都有(已确认),,,
FS 525,52",3款(N:MB/MW/OAK),只有无灯款(已确认),,,
FS 563,56",7款(L:MB/MW/OAK/PW  N:MB/MW/OAK),两种都有(已确认),,,
FS 48,48",5款(L:MB/OAK  N:MB/OAK/PW),两种都有(已确认),,,
FS 62,62"?,7款(L:MB/OAK/PW  N:MB/MW/OAK/PW),两种都有(已确认),,,真的有62寸吗?
FWF-20,20",2款(FWF20N / FWF20R),?待填,,,壁扇? R 和 N 差在哪?
GAZE 40,40",6款(L:MW/OAK/PW  N:MB/MW/OAK),两种都有(已确认),,,
GAZE 52,52",6款(L:MB/MW/OAK  N:MB/MW/OAK),两种都有(已确认),,,
GAZE 66,66",8款(L:MB/MW/OAK/PW  N:MB/MW/OAK/PW),两种都有(已确认),,,发票写 66" 3叶 DC
GRANDE LED,52",5款(GW/MB/MW/OAK/PW),有灯(系列名带LED),,,和 GRANDE V2 差在哪? 是新旧两代吗
GRANDE V2,52",4款(MB/MW/OAK/PW),?待填,,,
HEPTA 72,72",2款(MB / SV),?待填,,,SV 是银色吗? 72寸是最大款?
INNO,53"?,3款(MB / MB_PW / MW),?待填,,,发票写的是 INNO 435 你的图标 53 哪个对?
MIKA,56",4色(MB/MW/OAK/PW),?待填,,,文件名只有 1.png 2.png 看不出型号 每色 4-5 张要我挑主图
RINA,36",2款(MB / OAK),?待填,,,
SPINOR,16",2款(BRONZE / OAK),?待填,,,角扇 BRONZE 是青铜色?
V605,?,2款(MB / MW),?待填,,,发票确认是 Fanz 主线 但尺寸不明
VETTA,42",3款(L:MB/MW/OAK),有灯(已确认),,,发票里 VETTA 标的是 VIOZ 这是 Fanz 版还是 Vioz?
VETTA,56",2款(N:MB/OAK),无灯(已确认),,,同上
WINDY MKII,42"/56",4款,-,不进库,-,你已拍板 Vioz 不做营销
